pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1167 b,1.71,3.57,1419.0,0.0175,4971.0,0.75,0.79,Kepler-1167 b,0,0.27046578,0,0,1597.3736,Superterran
Kepler-1581 b,0.8,0.437,1108.0,0.06865,6022.0,1.23,1.12,Kepler-1581 b,0,0.29113212,0,0,1387.8597,Subterran
Kepler-280 c,2.01,4.7,1088.0,0.056,5744.0,0.886,0.962,Kepler-280 c,0,0.25900003,0,0,1171.7407,Superterran
Kepler-1208 b,2.32,5.99,665.0,0.0901,5001.0,0.76,0.8,Kepler-1208 b,0,0.27594474,0,0,697.12896,Superterran
Kepler-263 c,2.47,6.66,386.0,0.242,5265.0,0.785,0.793,Kepler-263 c,0,0.4133865,0,0,449.79833,Superterran
Kepler-1101 b,2.47,6.66,393.0,0.3483,5614.0,0.91,0.94,Kepler-1101 b,0,0.49665022,0,0,398.28943,Superterran
Kepler-560 b,1.72,3.61,298.0,0.0899,3556.0,0.33,0.34,Kepler-560 b,0,0.65293369,0,0,356.45534,Superterran
Kepler-1600 c,1.94206512,4.43,786.0,0.06961,5119.0,0.834,0.818,Kepler-1600 c,0,0.27132995,0,0,901.70797,Superterran
Kepler-626 b,2.29,5.86,784.0,0.10913,5813.0,1.05,1.01,Kepler-626 b,0,0.2593482,0,0,828.08821,Superterran
K2-62 c,1.99,4.62,495.0,0.1148,4455.0,0.696,0.67,K2-62 c,0,0.34477206,0,0,541.63233,Superterran
Kepler-1149 b,1.44,2.67,1128.0,0.0473,5833.0,1.01,1.02,Kepler-1149 b,0,0.2836145,0,0,1454.6046,Terran
Kepler-1288 b,1.12,1.46,2017.0,0.04135,6132.0,1.29,1.2,Kepler-1288 b,0,0.293093,0,0,1641.2733,Terran
Kepler-128 b,1.421,3.79,968.0,0.12545,6072.0,1.659,1.184,Kepler-128 b,0,0.28770814,0,0,1131.2257,Terran
Kepler-1245 b,1.44,2.67,1043.0,0.0484,5306.0,0.83,0.86,Kepler-1245 b,0,0.28983589,0,0,1032.1738,Terran
Kepler-272 c,1.79,97.8,947.0,0.061,5297.0,0.929,0.91,Kepler-272 c,0,0.26942762,0,0,1209.931,Superterran
Kepler-152 c,2.39,6.3,326.0,0.356,5088.0,0.724,0.779,Kepler-152 c,0,0.56420082,0,0,368.93556,Superterran
Kepler-1506 b,1.32,2.3,783.0,0.1168,5676.0,0.93,0.95,Kepler-1506 b,0,0.29332794,0,0,1075.732,Terran
HD 86226 c,2.16,7.25,1311.0,0.049,5863.0,1.053,1.019,HD 86226 c,0,0.24944255,0,0,1354.1743,Superterran
Kepler-595 c,1.009,3.3,679.0,0.0983,5138.5,0.821,0.93,Kepler-595 c,0,0.32269634,0,0,751.01526,Terran
HD 21749 c,0.892,3.7,701.0,0.0695,4640.0,0.695,0.73,HD 21749 c,0,0.3240778,0,0,735.24676,Terran
Kepler-18 b,2.0,6.9,1165.0,0.0447,5345.0,1.108,0.972,Kepler-18 b,0,0.2575163,0,0,1336.6625,Superterran
HD 106315 b,2.44,12.6,1153.0,0.0907,6327.0,1.296,1.091,HD 106315 b,0,0.23819246,0,0,1167.8487,Superterran
Kepler-59 c,1.98,3.81,752.0,0.13114,6074.0,0.94,1.04,Kepler-59 c,0,0.2675148,0,0,935.94098,Superterran
L 98-59 b,0.837,0.46,620.0,0.0223,3415.0,0.3155,0.2923,L 98-59 b,0,0.34784141,0,0,632.87152,Terran
Kepler-59 b,1.1,4.1,864.0,0.09943,6074.0,0.94,1.04,Kepler-59 b,0,0.29930077,0,0,1075.001,Terran
Kepler-69 b,2.24,5.65,779.0,0.094,5638.0,0.93,0.81,Kepler-69 b,0,0.25710442,0,0,885.95557,Superterran
Kepler-65 d,1.52,4.14,1117.0,0.084,6211.0,1.41,1.25,Kepler-65 d,0,0.28132161,0,0,1298.7649,Terran
Kepler-52 c,1.84,45.4,433.0,0.10379,4075.0,0.52,0.54,Kepler-52 c,0,0.39216848,0,0,503.32415,Superterran
Kepler-55 b,2.43,43.0,400.0,0.1593,4362.0,0.58,0.62,Kepler-55 b,0,0.39717959,0,0,464.58762,Superterran
GJ 536 b,2.41,6.37,451.0,0.0668,3641.0,0.529,0.528,GJ 536 b,0,0.37099671,0,0,504.34973,Superterran
Kepler-50 c,2.17,8.2,1125.0,0.087,6225.0,1.58,1.24,Kepler-50 c,0,0.24918376,0,0,1327.9016,Superterran
Kepler-347 b,1.97,4.54,908.0,0.11,6088.0,1.005,0.922,Kepler-347 b,0,0.26349265,0,0,1056.1587,Superterran
Kepler-186 b,1.07,1.24,571.0,0.0343,3788.0,0.472,0.478,Kepler-186 b,0,0.33171879,0,0,699.88786,Terran
Kepler-311 c,1.43,2.63,744.0,0.145,5905.0,1.188,0.994,Kepler-311 c,0,0.3004243,0,0,844.28976,Terran
Kepler-186 d,1.4,2.54,379.0,0.0781,3788.0,0.472,0.478,Kepler-186 d,0,0.46215771,0,0,463.82057,Terran
Kepler-11 b,1.8,1.9,849.0,0.091,5663.0,1.065,0.961,Kepler-11 b,0,0.27307392,0,0,1021.7622,Terran
Kepler-32 c,2.0,158.9,451.0,0.09,3900.0,0.53,0.58,Kepler-32 c,0,0.43503772,0,0,455.83143,Superterran
Kepler-1735 b,1.19429134,1.84,502.0,0.0621,3975.0,0.509,0.535,Kepler-1735 b,0,0.37001232,0,0,580.93791,Terran
Kepler-32 f,0.82,969.228,1026.0,0.013,3900.0,0.53,0.58,Kepler-32 f,0,0.29408682,0,0,1199.3718,Terran
Kepler-158 b,2.12,5.14,500.0,0.111,4623.0,0.624,0.655,Kepler-158 b,0,0.33552653,0,0,558.48824,Superterran
Kepler-134 c,1.26,2.13,892.0,0.092,5983.0,1.176,0.956,Kepler-134 c,0,0.29848605,0,0,982.38474,Terran
KOI-94 b,1.71,10.5,1486.0,0.05119,6182.0,1.52,1.277,KOI-94 b,0,0.27017899,0,0,1668.6203,Superterran
Kepler-415 c,2.01,4.7,543.0,0.0695,4362.0,0.643,0.67,Kepler-415 c,0,0.29411768,0,0,686.56731,Superterran
Kepler-290 b,2.25,5.69,594.0,0.11,5147.0,0.743,0.756,Kepler-290 b,0,0.30085203,0,0,619.05492,Superterran
Kepler-784 b,1.58,3.12,688.0,0.22111,5674.0,1.32,1.0,Kepler-784 b,0,0.28262426,0,0,1062.364,Terran
Kepler-42 c,0.73,60.337,720.0,0.006,3068.0,0.17,0.13,Kepler-42 c,0,0.30498546,0,0,821.95851,Subterran
Kepler-33 c,3.2,0.39,1009.0,0.1189,5904.0,1.82,1.291,Kepler-33 c,0,0.20665889,0,0,1149.0385,Subterran
Kepler-641 b,1.85,4.08,926.0,0.0895,5713.0,1.13,1.02,Kepler-641 b,0,0.26636557,0,0,1214.5939,Superterran
Kepler-865 b,2.49,6.76,694.0,0.1057,5570.0,0.92,0.93,Kepler-865 b,0,0.25928214,0,0,745.39766,Superterran
Kepler-415 b,1.21,119.9,694.0,0.0426,4362.0,0.643,0.67,Kepler-415 b,0,0.30582696,0,0,876.9417,Terran
Kepler-338 e,1.56,8.5,1143.0,0.08979,5999.0,1.735,1.14,Kepler-338 e,0,0.27904948,0,0,1345.4108,Terran
Kepler-33 b,1.74,3.68,1336.0,0.0677,5904.0,1.82,1.291,Kepler-33 b,0,0.26929614,0,0,1522.759,Superterran
Kepler-314 b,0.83,0.498,1195.0,0.035,5378.0,0.95,0.99,Kepler-314 b,0,0.29274529,0,0,1350.1795,Terran
Kepler-52 b,2.1,135.0,553.0,0.0637,4075.0,0.52,0.54,Kepler-52 b,0,0.30097127,0,0,642.47437,Superterran
Kepler-347 c,1.75,3.71,705.0,0.183,6088.0,1.005,0.922,Kepler-347 c,0,0.28752281,0,0,818.84175,Superterran
Kepler-158 c,1.9,4.27,418.0,0.158,4623.0,0.624,0.655,Kepler-158 c,0,0.42586681,0,0,468.10899,Superterran
Kepler-269 b,2.47,6.66,1007.0,0.061,5847.0,0.959,0.92,Kepler-269 b,0,0.23413282,0,0,1439.6622,Superterran
Kepler-300 c,2.25,5.69,516.0,0.232,5986.0,0.9,1.07,Kepler-300 c,0,0.2739873,0,0,726.40952,Superterran
Kepler-124 d,1.11,1.41,428.0,0.17,4984.0,0.636,0.706,Kepler-124 d,0,0.40218939,0,0,533.2748,Terran
Kepler-114 c,1.6,2.8,507.0,0.06482,4660.0,0.54,0.56,Kepler-114 c,0,0.30175426,0,0,761.76499,Terran
Kepler-402 c,1.56,3.05,1140.0,0.068,6090.0,1.264,1.072,Kepler-402 c,0,0.28016372,0,0,1239.9982,Terran
Kepler-157 b,1.32,2.3,1546.0,0.028,5774.0,1.044,0.95,Kepler-157 b,0,0.28708872,0,0,1811.7426,Terran
Kepler-81 c,2.37,4.3,502.0,0.08347,4385.0,0.59,0.64,Kepler-81 c,0,0.30323435,0,0,596.91201,Superterran
Kepler-295 b,1.22,1.98,741.0,0.099,5603.0,0.898,0.89,Kepler-295 b,0,0.29266296,0,0,1313.2818,Terran
Kepler-450 d,0.837,17.6,1199.0,0.0827,6197.21,1.64162,1.19,Kepler-450 d,0,0.29272919,0,0,1380.3327,Terran
Kepler-238 f,2.0,13.5,568.0,0.28635,5800.0,0.96,1.06,Kepler-238 f,0,0.29112765,0,0,703.06615,Superterran
Kepler-285 b,1.34,2.36,1131.0,0.036,5411.0,0.808,0.915,Kepler-285 b,0,0.28890753,0,0,1291.2914,Terran
Kepler-181 b,1.27,2.15,1041.0,0.04,5333.0,0.749,0.81,Kepler-181 b,0,0.29326569,0,0,1156.4997,Terran
Kepler-1398 c,1.03,1.08,1324.0,0.05087,6126.0,1.18,1.13,Kepler-1398 c,0,0.29460686,0,0,1524.5456,Terran
Kepler-284 b,2.24,5.65,686.0,0.104,5615.0,0.814,0.766,Kepler-284 b,0,0.27338216,0,0,733.09263,Superterran
Kepler-654 b,2.07,4.94,831.0,0.11664,5865.0,1.11,1.04,Kepler-654 b,0,0.25688881,0,0,1123.5526,Superterran
Kepler-328 b,2.3,28.5,602.0,0.2199,6064.0,1.06,1.15,Kepler-328 b,0,0.26265248,0,0,790.33808,Superterran
Kepler-341 c,1.7,3.53,940.0,0.08,6012.0,1.024,0.976,Kepler-341 c,0,0.27602227,0,0,1094.2852,Superterran
Kepler-225 b,1.2,1.87,579.0,0.056,3682.0,0.48,0.593,Kepler-225 b,0,0.33241,0,0,685.22233,Terran
Kepler-216 b,2.35,6.12,1069.0,0.079,6091.0,1.26,1.126,Kepler-216 b,0,0.24011457,0,0,1379.1515,Superterran
Kepler-291 b,2.16,5.31,1212.0,0.047,6002.0,1.016,1.023,Kepler-291 b,0,0.24924081,0,0,1382.3773,Superterran
Kepler-242 c,2.0,4.66,613.0,0.109,5020.0,0.85,0.748,Kepler-242 c,0,0.31667596,0,0,612.2972,Superterran
Kepler-240 b,1.37,2.45,864.0,0.048,4985.0,0.739,0.868,Kepler-240 b,0,0.29500273,0,0,971.19157,Terran
Kepler-179 b,1.64,3.33,1075.0,0.036,5302.0,0.759,0.893,Kepler-179 b,0,0.27578142,0,0,1292.035,Superterran
Kepler-303 b,0.89,0.64,802.0,0.024,3944.0,0.485,0.575,Kepler-303 b,0,0.30110016,0,0,1005.3561,Terran
Kepler-260 b,2.01,4.7,782.0,0.075,5250.0,0.862,1.013,Kepler-260 b,0,0.26339753,0,0,996.31092,Superterran
Kepler-226 b,1.55,24.0,1018.0,0.047,5571.0,0.802,0.904,Kepler-226 b,0,0.28190623,0,0,1156.4493,Terran
Kepler-1162 b,2.21,5.52,490.0,0.19,5390.0,0.84,0.89,Kepler-1162 b,0,0.33660185,0,0,548.33848,Superterran
Kepler-1126 b,1.73,3.64,374.0,0.41251,5798.0,0.93,0.92,Kepler-1126 b,0,0.50452199,0,0,423.06871,Superterran
Kepler-165 c,2.23,5.6,581.0,0.11,5211.0,0.77,0.746,Kepler-165 c,0,0.28891573,0,0,661.04219,Superterran
Kepler-197 d,1.22,1.98,810.0,0.119,6004.0,1.12,0.857,Kepler-197 d,0,0.30127592,0,0,947.60557,Terran
Kepler-125 b,2.37,6.21,590.0,0.041,3810.0,0.512,0.542101,Kepler-125 b,0,0.28170932,0,0,661.5057,Superterran
