pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1032 b,1.87,4.16,802.0,3.290117953,0.0,0.0361,176.144,4647.0,0.71,0.77,0.16,Kepler-1032 b,0,0.2690377,0,0,1038.5369,Superterran
Kepler-1756 b,1.47199944,2.77,1093.0,2.355750084,0.0,0.0319,338.4,4915.0,0.812,0.781,0.16,Kepler-1756 b,0,0.28417408,0,0,1236.745,Terran
Kepler-934 b,2.09,5.02,384.0,55.6738309,0.0,0.2658,4.716,5001.0,0.77,0.81,0.01,Kepler-934 b,0,0.47727706,0,0,423.78739,Superterran
Kepler-1466 b,1.55,3.02,585.0,31.1750448,0.0,0.17981,21.875,5884.0,1.02,1.01,-0.07,Kepler-1466 b,0,0.32940514,0,0,644.24478,Terran
GJ 3929 b,1.09,1.75,568.0,2.616235,0.0,0.0252,17.3,3384.0,0.32,0.313,-0.02,GJ 3929 b,0,0.370086,0,0,585.43037,Terran
Kepler-225 b,1.2,1.87,579.0,6.738975,0.0,0.056,38.883,3682.0,0.48,0.593,-0.04,Kepler-225 b,0,0.33241,0,0,685.22233,Terran
Kepler-510 b,2.47,6.66,797.0,19.55659418,0.0,0.1352,114.389,5746.0,1.41,0.91,-0.35,Kepler-510 b,0,0.24302582,0,0,947.37937,Superterran
Kepler-928 b,1.59,3.15,894.0,3.932461302,0.0,0.0444,111.11,4700.0,0.7,0.73,-0.11,Kepler-928 b,0,0.28885881,0,0,902.57653,Terran
Kepler-534 b,2.24,5.65,721.0,15.95994513,0.0,0.1272,63.95,5884.0,0.98,1.05,0.01,Kepler-534 b,0,0.25791434,0,0,877.87355,Superterran
Kepler-1181 c,1.83,4.01,1124.0,8.93484887,0.0,0.0928,377.25,6688.0,1.347,1.336,0.07,Kepler-1181 c,0,0.26703843,0,0,1239.2289,Superterran
Kepler-189 b,1.21,1.92,678.0,10.399931,0.0,0.088,45.389,5235.0,0.75,0.803,-0.04,Kepler-189 b,0,0.31963816,0,0,749.34909,Terran
Kepler-1219 b,2.12,5.14,1159.0,16.10467749,0.0,0.14146,430.691,5944.0,1.94,1.25,0.05,Kepler-1219 b,0,0.25187874,0,0,1301.9293,Superterran
Kepler-1149 b,1.44,2.67,1128.0,3.73089898,0.0,0.0473,653.831,5833.0,1.01,1.02,0.02,Kepler-1149 b,0,0.2836145,0,0,1454.6046,Terran
Kepler-416 c,2.352,6.13,791.0,12.209,0.0,0.10454,93.072,5718.0,1.075,1.0,0.1259,Kepler-416 c,0,0.24557886,0,0,914.98221,Superterran
Kepler-1763 b,1.14651332,1.59,1822.0,1.480280042,0.0,0.0257,2597.27,5897.0,1.259,1.026,0.02,Kepler-1763 b,0,0.29173347,0,0,2101.1592,Terran
Kepler-625 c,1.05,1.16,1048.0,4.1653651,0.0,0.05379,932.132,5789.0,0.96,1.04,0.1,Kepler-625 c,0,0.29411405,0,0,1612.4775,Terran
Kepler-373 c,1.24,2.07,729.0,16.725948,0.0,0.126,103.756,5787.0,0.845,0.981,0.14,Kepler-373 c,0,0.30241422,0,0,915.67266,Terran
